id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.4,CpGTile000002,1,4521001,4522000,2.86773230390432e-12,2.83370947527206e-10,-20.2118563282473,Rp1,-41538,-,lnc_RNA,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.39,CpGTile005744,1,9871001,9872000,0.000113748128567763,0.00124660222583685,-14.9677113010446,Gm6195,779,-,pseudogenic_transcript,pseudogene,Yes,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.61,CpGTile000007,1,13379001,13380000,9.02054183354019e-05,0.00102881582271663,-13.4414471684033,Ncoa2,-9056,-,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.84,CpGTile008162,1,16242001,16243000,2.52015410546947e-08,9.10415788521606e-07,-11.5649544665701,Gm38249,37742,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.112,CpGTile005747,1,21067001,21068000,0.000122044050009111,0.00131843111402578,-12.3243608111087,Efhc1,45091,+,mRNA,gene,No,Yes,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.122,CpGTile008163,1,22767001,22768000,9.43531565165827e-07,2.14807669382213e-05,-14.2232314755393,Gm26866,-11845,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.125,CpGTile005748,1,23254001,23255000,0.000158694030545246,0.00164627635793688,-13.7158469945355,Gm29506,19755,-,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.138,CpGTile000014,1,24215001,24216000,0.00328378763856253,0.0184224531438736,-11.9063772048847,Col9a1,-691,+,mRNA,gene,Yes,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.139,CpGTile000015,1,24236001,24237000,0.0016436182340137,0.0106529928537459,-16.2019914651494,Col9a1,0,+,transcript,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.162,CpGTile005750,1,34160001,34161000,0.0046617041195305,0.0241002994763649,-10.1524314765694,Dst,0,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.177,CpGTile004626,1,34846001,34847000,5.76087834353625e-09,2.42799716878913e-07,-10.8439082792889,Gm38336,3990,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.182,CpGTile005752,1,34931001,34932000,0.0019577443997114,0.0121932483037183,-11.2171385237614,Plekhb2,14266,+,transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.188,CpGTile005753,1,36069001,36070000,2.66148717537909e-16,5.13048258828256e-14,-16.1918560317218,Gm38049,100,-,unconfirmed_transcript,gene,Yes,Yes,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.203,CpGTile005754,1,36531001,36532000,1.64533078558311e-06,3.48597217236394e-05,-13.8993690129794,Gm56056,-13643,+,miRNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.210,CpGTile005363,1,36603001,36604000,0.00046917471934077,0.00388653766835766,-12.224480119217,D430040D24Rik,5563,+,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.213,CpGTile005756,1,36646001,36647000,0.000325381311768672,0.00292291801745555,-19.9054301403295,Gm6428,5120,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.221,CpGTile008164,1,36884001,36885000,0.000273902331012555,0.00256226548126716,-11.8184067293419,Tmem131,-20140,-,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.224,CpGTile004386,1,37025001,37026000,0.00956581202055032,0.0414148174930421,-14.2719668369235,n-R5s210,-18520,+,rRNA,ncRNA_gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.232,CpGTile000033,1,37726001,37727000,2.23861982190311e-07,6.25261839999357e-06,-10.3980798501346,Gm19863,8746,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.238,CpGTile005757,1,37994001,37995000,0.000504424866603234,0.0041161972885325,-12.2715404699739,Lyg1,1841,-,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.256,CpGTile000038,1,39400001,39401000,0.00360459543236272,0.0197964884966536,-15.9296208960638,Rpl31,-5923,+,mRNA,gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.257,CpGTile004387,1,39401001,39402000,0.00581173136897714,0.0285102596951905,-14.6236559139785,Rpl31,-4923,+,mRNA,gene,No,Yes,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.280,CpGTile005758,1,40908001,40909000,0.000937857436401732,0.0067802613434455,-11.7844768398026,Gm5973,-4610,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.282,CpGTile005759,1,42578001,42579000,2.10616572299557e-14,2.98385780692562e-12,-11.3679726561058,Gm37047,47030,+,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.302,CpGTile005760,1,43542001,43543000,5.03118141481654e-06,9.05290703849588e-05,-12.990405407861,Gm37536,14396,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.325,CpGTile004628,1,46927001,46928000,1.63632930002689e-05,0.000245932004127523,-16.0771704180064,Slc39a10,0,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.342,CpGTile000053,1,52156001,52157000,8.39514904972341e-11,5.45106588661833e-09,-14.3750580154089,Stat1,-1599,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.377,CpGTile005761,1,55476001,55477000,0.000342260811950218,0.00304546550017714,-12.4837556855101,Gm38056,-3063,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.390,CpGTile004388,1,57252001,57253000,5.18282703954132e-12,4.77991535888451e-10,-15.2617568766637,BC055402,1153,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.398,CpGTile005443,1,58029001,58030000,2.4610434053697e-05,0.000347509794147336,-14.3466018503462,Sgo2a,-5130,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.401,CpGTile000058,1,58346001,58347000,8.1737051623306e-06,0.000137206442363504,-12.4103263994081,Gm15759,7816,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.411,CpGTile005763,1,58828001,58829000,8.51118743754793e-06,0.000142161229530542,-18.5564478498981,Gm3841,3635,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.422,CpGTile008165,1,59498001,59499000,0.00896852031014542,0.0395570891548927,-10.0629755969562,Gm37737,-9341,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.428,CpGTile005765,1,59649001,59650000,0.00172649204703699,0.0110454331194032,-11.4591806156085,Gm973,3028,+,transcript,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.465,CpGTile008166,1,64035001,64036000,3.14721804442076e-05,0.000425823188864718,-11.0465769659076,Gm13749,31117,+,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.482,CpGTile004630,1,65149001,65150000,0.000180561359933008,0.00183270453354689,-15.0484951504849,Cryga,-6470,-,mRNA,gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.504,CpGTile005767,1,69868001,69869000,1.79530368738093e-05,0.000265877199509574,-11.1929236499069,Spag16,1852,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.510,CpGTile000071,1,71877001,71878000,0.000285518630202713,0.00264463305244229,-14.0772483576229,Gm37217,7770,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.519,CpGTile005769,1,72501001,72502000,0.00095489520140294,0.00688438936602566,-10.3710516870065,Gm15843,2345,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.527,CpGTile007536,1,73962001,73963000,4.72427518502751e-06,8.60602524269776e-05,-14.4348282192499,Tns1,4377,-,lnc_RNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.589,CpGTile000083,1,75336001,75337000,8.58095331992403e-05,0.000984888920601816,-11.507799293069,Des,0,+,mRNA,gene,Yes,Yes,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.610,CpGTile000086,1,76018001,76019000,1.66467256140827e-08,6.25386005810271e-07,-14.1425952119021,Gm29065,-22609,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.616,CpGTile005773,1,78147001,78148000,0.000275517050081249,0.00257327632875005,-12.1040189125295,Pax3,25476,-,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.617,CpGTile000090,1,78148001,78149000,7.21230496879431e-05,0.000849781390780324,-22.9209016578579,Pax3,24476,-,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.649,CpGTile004632,1,82151001,82152000,2.64568738391311e-06,5.2380718102251e-05,-11.2450657051556,Mir6344,41366,+,miRNA,ncRNA_gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.675,CpGTile000097,1,85775001,85776000,0.00132067301211596,0.00892322949041069,-11.3770913770914,Cab39,4202,+,lnc_RNA,gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.683,CpGTile000098,1,86054001,86055000,3.5464572111425e-06,6.72345765334708e-05,-17.8853861986784,Psmd1,-589,+,lnc_RNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.690,CpGTile008167,1,86307001,86308000,0.00057345814706365,0.00455774929787349,-10.2302535703876,Gm45908,-1004,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.692,CpGTile005446,1,86325001,86326000,6.50067536850995e-05,0.000779207540441719,-12.0679320679321,Nmur1,0,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.756,CpGTile005364,1,89409001,89410000,0.000285237033012783,0.00264306572885626,-13.5035244214335,Gm37297,-1160,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.757,CpGTile004390,1,89456001,89457000,9.55136435980593e-08,2.98307455233085e-06,-16.3755731880996,Gm55945,-34082,+,rRNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.758,CpGTile005778,1,89461001,89462000,9.80093980139639e-07,2.21629748337626e-05,-18.8293650793651,Gm55945,-29082,+,rRNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.789,CpGTile005781,1,90952001,90953000,0.00654968937276252,0.0311934412643586,-13.8744105237032,Lrrfip1,25502,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.790,CpGTile007844,1,90960001,90961000,2.40992270997011e-06,4.84821950021781e-05,-11.8624664114948,Lrrfip1,-20166,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.795,CpGTile005782,1,91137001,91138000,0.000785744841005298,0.00589625444970195,-14.0420220511754,Ramp1,29235,+,mRNA,gene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.799,CpGTile005783,1,91248001,91249000,3.16352503826939e-06,6.09824848174413e-05,-15.293291976678,Gm17090,0,-,lnc_RNA,ncRNA_gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.816,CpGTile005785,1,91850001,91851000,0.00677140975743059,0.0320288721529429,-10.4115601664482,Gm37600,6021,+,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.847,CpGTile005786,1,93616001,93617000,4.57224349302467e-05,0.000579355387041794,-17.4849467345994,Bok,0,+,mRNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.891,CpGTile008168,1,117811001,117812000,0.000161150358010449,0.00166661192592769,-11.7414950092805,Gm7195,14751,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.901,CpGTile000130,1,118616001,118617000,9.50128162315595e-08,2.9713788058761e-06,-13.6885922664098,Gm23497,6452,+,snRNA,ncRNA_gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.946,CpGTile000140,1,121327001,121328000,0.00197843228208422,0.0122797706466445,-10.8916604995689,Ccdc93,-30778,+,mRNA,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.962,CpGTile004391,1,127198001,127199000,6.51430135355585e-08,2.1015222276553e-06,-11.5779777655784,Gm37510,0,+,unconfirmed_transcript,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.975,CpGTile000146,1,128368001,128369000,0.00096656839825062,0.00695575401182392,-12.8074433656958,Dars,-22897,-,mRNA,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.986,CpGTile007847,1,130587001,130588000,0.000123425857844821,0.00133089612226702,-10.3170667826202,C4bp,1348,-,mRNA,gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.1006,CpGTile000152,1,131501001,131502000,2.43238254494934e-32,2.2001495457452e-29,-31.0728829053436,Avpr1b,-24977,+,mRNA,gene,No,No,No
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.1008,CpGTile007542,1,131589001,131590000,0.0093124303274393,0.0406772567055009,-11.7267759562842,Ctse,0,+,lnc_RNA,gene,Yes,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.1009,CpGTile008169,1,131680001,131681000,0.000347951876494224,0.00308327268403771,-10.0590268220326,Slc26a9,1774,+,mRNA,gene,No,Yes,Yes
HDM_ESR2_Female-v-HDM_WT_FemaleCpGTile.1010,CpGTile005365,1,131689001,131690000,0.00167283764369806,0.0107931927023027,-13.2256930494174,Slc26a9,10774,+,mRNA,gene,No,Yes,Yes
