id,newid,chr,start,stop,pval,qval,mdiff,gene,gene-distance,gene-strand,feature-type,gene-type,in-promoter,in-exon,in-intron
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.4,CpGTile000002,1,4521001,4522000,6.96645503532342e-08,3.91306802334475e-06,16.4821999087175,Rp1,-41538,-,lnc_RNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.128,CpGTile005748,1,23254001,23255000,0.00283614073088498,0.0354510827834435,11.9047619047619,Gm29506,19755,-,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.215,CpGTile005363,1,36603001,36604000,9.13428292938587e-05,0.00249428391669002,15.628053183807,D430040D24Rik,5563,+,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.218,CpGTile005756,1,36646001,36647000,0.00298271940932507,0.0368695971884631,18.4443911792905,Gm6428,5120,+,pseudogenic_transcript,pseudogene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.223,CpGTile000028,1,36820001,36821000,0.00301438699612369,0.0371579689566648,10.219506407214,Zap70,1938,+,lnc_RNA,gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.244,CpGTile005757,1,37994001,37995000,0.00395781673455904,0.0446498337780416,11.2361230143703,Lyg1,1841,-,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.259,CpGTile007534,1,39144001,39145000,7.58191157030013e-05,0.00212740699164093,10.6662515566625,Gm37091,-21583,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.288,CpGTile007535,1,42668001,42669000,1.13755862648494e-11,9.13360165340442e-10,11.6519281999779,Pantr1,21840,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.320,CpGTile000050,1,44371001,44372000,0.000208737496792245,0.00497705158942486,10.5572994225598,Gm5700,-806,-,pseudogenic_transcript,pseudogene,Yes,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.334,CpGTile000051,1,48315001,48316000,0.000776817355561773,0.0139769567893777,13.8520822931469,Gm5974,38011,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.348,CpGTile000053,1,52156001,52157000,3.6640060985834e-05,0.00115660559678467,10.403077912011,Stat1,-1599,+,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.406,CpGTile000058,1,58346001,58347000,1.56728743705034e-06,7.18774414635144e-05,14.2917336001896,Gm15759,7816,-,lnc_RNA,ncRNA_gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.467,CpGTile000064,1,63447001,63448000,1.54380906634864e-05,0.000548164773080114,15.5970606246173,Adam23,-37050,+,lnc_RNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.511,CpGTile000069,1,70892001,70893000,1.36312866120435e-06,6.31645706163683e-05,10.71460192165,Vwc2l,126921,+,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.534,CpGTile007536,1,73962001,73963000,0.00042172279030838,0.00875208949837411,12.4023078940467,Tns1,4377,-,lnc_RNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.554,CpGTile007537,1,74440001,74441000,0.000703053408359533,0.0129362824545016,10.1736941472624,Mir26b,6534,+,miRNA,ncRNA_gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.646,CpGTile007538,1,78827001,78828000,0.00192185684833987,0.0270025440910475,17.0536692223439,Gm29187,28028,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.654,CpGTile000093,1,79781001,79782000,0.000823135200348267,0.0145652928770448,14.0587193494475,Serpine2,16022,-,lnc_RNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.672,CpGTile007539,1,83385001,83386000,0.00166435561771349,0.0244236330072078,10.7070707070707,Sphkap,0,-,lnc_RNA,gene,Yes,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.768,CpGTile005364,1,89409001,89410000,6.98238203906229e-05,0.0019923999791814,16.9501727206113,Gm37297,-1160,+,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.828,CpGTile005785,1,91850001,91851000,0.000268368595354776,0.0061171086301848,16.0652134090493,Gm37600,6021,+,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.834,CpGTile004636,1,92608001,92609000,0.000257012106968276,0.00593139451603846,11.9085375211008,Otos,-31439,-,mRNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.995,CpGTile005788,1,128639001,128640000,0.000860946680581333,0.0150353512098446,14.3087769187476,Gm29599,-38663,+,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.996,CpGTile007540,1,128715001,128716000,8.06297310213562e-06,0.00030665665773489,10.8799760550733,Gm26686,-12844,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1020,CpGTile000152,1,131501001,131502000,7.99910200514237e-35,1.28067011684121e-32,37.4405350666478,Avpr1b,-24977,+,mRNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1021,CpGTile007541,1,131560001,131561000,0.00017803838093551,0.00437788086349281,10.6027566898185,Gm8532,0,-,pseudogenic_transcript,pseudogene,Yes,Yes,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1022,CpGTile007542,1,131589001,131590000,0.00412925301739162,0.0460073808114323,14.156862745098,Ctse,0,+,lnc_RNA,gene,Yes,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1024,CpGTile005365,1,131689001,131690000,0.000359789255781139,0.0077453153764778,15.1921052631579,Slc26a9,10774,+,mRNA,gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1063,CpGTile000161,1,132876001,132877000,0.00146893856172725,0.022315338344965,10.5315827993607,Gm38308,-2944,-,unconfirmed_transcript,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1144,CpGTile000171,1,135591001,135592000,0.000117103833820259,0.00312163910467126,11.0333880678708,ENSMUSG00000120094,-22650,+,lnc_RNA,ncRNA_gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1192,CpGTile000176,1,137150001,137151000,2.14667353472159e-05,0.000735840879670261,11.6025748864457,Gm25609,-6617,-,snRNA,ncRNA_gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1197,CpGTile000179,1,138504001,138505000,0.000878607617795877,0.0152250116548858,11.5038840883303,Gm37101,-4908,-,unconfirmed_transcript,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1203,CpGTile005366,1,138713001,138714000,0.00291088158306793,0.0362071561895274,15.1046405823476,Lhx9,47398,-,lnc_RNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1239,CpGTile000185,1,151597001,151598000,0.00235243797357479,0.0310449705515644,11.3806004197463,2810414N06Rik,32770,-,lnc_RNA,ncRNA_gene,No,Yes,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1243,CpGTile005799,1,151916001,151917000,0.00101376901993317,0.0168459490651721,12.0044131254894,1700025G04Rik,14044,-,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1346,CpGTile007543,1,160808001,160809000,0.000556037304003585,0.0107476624364805,16.7210897047161,Serpinc1,1745,+,mRNA,gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1384,CpGTile005812,1,165149001,165150000,0.00339537413252501,0.040262628662088,13.0291739337244,Gpr161,18811,+,mRNA,gene,No,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1449,CpGTile004641,1,169047001,169048000,0.00017153916620823,0.00426249159311394,12.9380530973451,Gm37839,127202,-,lnc_RNA,ncRNA_gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1472,CpGTile005818,1,170886001,170887000,2.23271842444631e-05,0.000759493256510303,15.7497398939275,Fcgr3,0,-,mRNA,gene,Yes,Yes,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1648,CpGTile004643,1,181929001,181930000,3.87185571686896e-05,0.00121219867906641,12.9859387923904,Srp9,-22302,+,mRNA,gene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1653,CpGTile007544,1,182197001,182198000,0.00170799505970907,0.0247974066113291,11.4430416911333,Gm5706,23101,-,pseudogenic_transcript,pseudogene,No,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1661,CpGTile000240,1,182391001,182392000,2.63125931299347e-07,1.35552897250732e-05,14.9044351874541,Capn8,-572,+,mRNA,gene,Yes,No,No
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1733,CpGTile007545,1,187600001,187601000,0.000857060663575922,0.0150066943712188,20.8824374820351,Esrrg,-129024,+,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1739,CpGTile005833,1,188598001,188599000,6.30593346627791e-06,0.000245417291690794,11.5271631121076,Ush2a,-86941,+,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1751,CpGTile004644,1,189525001,189526000,5.37126568473942e-07,2.65455594006782e-05,14.5341164662367,Ptpn14,6134,+,mRNA,gene,No,No,Yes
HDM_ESR2_Male-v-HDM_ESR2_FemaleCpGTile.1760,CpGTile000255,1,189932001,189933000,3.97477184636184e-06,0.000163749514186388,10.3528677388558,ENSMUSG00000119953,27755,+,lnc_RNA,ncRNA_gene,No,No,Yes
